siteid,sitename,damname,county,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,windowstart,windowend,Chl_a,label,B11,B2,B2_B3,B3,B3_B2,B3_B4,B4,B5,B5_B4,B8,CI,FAI,NDCI,NDRE,NDVI,NDWI
2106,榮湖水庫,榮湖水庫,金門縣,118.410342,24.486492,190234.25,2709029.93,2021-11-25,2021-11-22,2021-11-28,96.9,2,0.0262,0.0327,0.47322717,0.0691,2.11315,1.6936274,0.0408,0.1027,2.5171568,0.0495,1.5171568,0.011434602,0.43135887,-0.34954008,0.09634549,0.16526139
2105,太湖水庫,太湖水庫,金門縣,118.426867,24.440039,191887.89,2703877.87,2022-08-11,2022-08-08,2022-08-14,96.3,2,0.0162,0.0349,0.393018,0.0888,2.5444126,2.1294963,0.0417,0.1006,2.4124699,0.0254,1.4124699,-0.011523811,0.41391423,-0.59682536,-0.24292104,0.55516636
2106,榮湖水庫,榮湖水庫,金門縣,118.410342,24.486492,190234.25,2709029.93,2022-08-11,2022-08-08,2022-08-14,86.6,2,0.0288,0.0452,0.5587145,0.0809,1.7898229,1.706751,0.0474,0.0809,1.706751,0.0386,0.706751,-0.00531619,0.26110676,-0.35397488,-0.10232558,0.35397488
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2024-07-08,2024-07-05,2024-07-11,85.7,2,0.03385,0.056500003,0.7188393,0.078600004,1.391134,1.550333,0.0507,0.0739,1.4575955,0.0388,0.45759547,-0.008743966,0.18619631,-0.3114489,-0.13296479,0.33899298
2192,成功水庫,成功水庫,澎湖縣,119.625964,23.577479,313893.66,2608371.04,2022-11-07,2022-11-04,2022-11-10,85.1,2,0.0579,0.0104,0.14207649,0.0732,7.0384617,2.7313435,0.0268,0.0733,2.7350745,0.0119,1.7350746,-0.020725079,0.46453544,-0.7206573,-0.3850129,0.72032905
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2023-04-12,2023-04-09,2023-04-15,84.8,2,0.0371,0.0368,0.6695211,0.05495,1.4951922,1.0587521,0.0519,0.05985,1.153279,0.03615,0.15327898,-0.012977938,0.071124285,-0.24684894,-0.17887163,0.2063539
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2024-07-08,2024-07-05,2024-07-11,83.2,2,0.02065,0.04235,0.6742595,0.062800005,1.4833243,1.7615204,0.03565,0.055299997,1.5511764,0.028,0.5511764,-0.004840476,0.21604763,-0.3277991,-0.12027395,0.3833171
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2024-02-16,2024-02-13,2024-02-19,82.6,2,0.01015,0.021200001,0.7324302,0.02895,1.3654428,1.6044631,0.0181,0.024149999,1.3068631,0.00655,0.306863,-0.007663968,0.13301724,-0.5660112,-0.4549578,0.6310091
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2024-02-16,2024-02-13,2024-02-19,82,2,0.01,0.01995,0.69560623,0.028700002,1.4398944,1.739394,0.0165,0.0169,1.0492425,0.00515,0.049242444,-0.007457302,0.024029452,-0.5327778,-0.52425754,0.69562334
2106,榮湖水庫,榮湖水庫,金門縣,118.410342,24.486492,190234.25,2709029.93,2024-10-29,2024-10-26,2024-11-01,81.5,2,0.0194,0.034,0.6028369,0.0564,1.6588235,1.5977336,0.0353,0.0661,1.8725212,0.0313,0.8725212,-0.001021905,0.30374753,-0.35728952,-0.06006007,0.28620297
2147,鯉魚潭水庫一,鯉魚潭水庫,苗栗縣,120.7964781,24.3401739,229348.12,2692712.37,2024-08-19,2024-08-16,2024-08-22,81.3,2,0.0011,0.008649999,0.646507,0.013350001,1.5486505,2.694872,0.0052,0.00355,0.65384614,0,-0.34615386,-0.004432064,-0.21521741,-1,-1,1
2185,鳳山水庫一,鳳山水庫,高雄市,120.39236,22.540565,187499.7869,2493537.054,2024-07-08,2024-07-05,2024-07-11,81,2,0.0342,0.05615,0.7402835,0.075849995,1.3508389,1.475681,0.0514,0.0721,1.4027238,0.0401,0.40272382,-0.008078411,0.16760918,-0.28520274,-0.12349724,0.30831623
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2022-03-07,2022-03-04,2022-03-10,79.8,2,0.0087,0.0402,0.86266094,0.0465,1.159204,1.6267606,0.0284,0.0394,1.387324,0.0134,0.38732395,-0.011310159,0.16224189,-0.49242425,-0.3588517,0.5503356
2194,東衛水庫,東衛水庫,澎湖縣,119.597683,23.567763,311011.37,2607282.71,2022-11-07,2022-11-04,2022-11-10,76.5,2,0.025799999,0.032899998,0.39838892,0.08035,2.9745817,2.3111281,0.0378,0.047700003,1.2875222,0.01525,0.2875222,-0.020302381,0.12460218,-0.6356197,-0.5797081,0.7287795
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2021-03-03,2021-02-28,2021-03-06,76.5,2,0.0165,0.06485,0.95434666,0.067949995,1.0478804,1.3895645,0.0489,0.055,1.1248133,0.03825,0.12481335,-0.004581428,0.058681518,-0.1796856,-0.12227675,0.27970397
2188,鳳山水庫四,鳳山水庫,高雄市,120.3896219,22.535145,187215.7,2492938.04,2020-06-15,2020-06-12,2020-06-18,75.3,2,0.01575,0.0325,0.691545,0.047,1.4461203,2.0222874,0.02325,0.02905,1.2512674,0.00235,0.25126743,-0.019495238,0.10908396,-0.85061276,-0.81632715,0.9048939
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2024-07-08,2024-07-05,2024-07-11,72.6,1,0.014149999,0.0323,0.6526594,0.0495,1.5339575,1.9880322,0.0249,0.03675,1.4760807,0.0156,0.4760806,-0.007286509,0.19201578,-0.4040474,-0.23040316,0.5210123
2077,阿公店水庫三,阿公店水庫,高雄市,120.348695,22.820036,183144.05,2524502.81,2021-05-12,2021-05-09,2021-05-15,72.1,1,0.03505,0.074200004,0.62419564,0.1189,1.6025814,1.3496454,0.0881,0.12515,1.4209464,0.0661,0.4209463,-0.01206365,0.1737724,-0.3087529,-0.14261992,0.28536928
2105,太湖水庫,太湖水庫,金門縣,118.426867,24.440039,191887.89,2703877.87,2024-01-18,2024-01-15,2024-01-21,68.4,1,0.004,0.0296,0.449848,0.0658,2.222973,2.0822787,0.0316,0.0798,2.5253167,0.0133,1.5253166,-0.013130475,0.43267506,-0.71428573,-0.40757236,0.66371685
2116,勝利水庫,勝利水庫,連江縣,119.93577,26.152563,343559.02,2893784.31,2021-08-18,2021-08-15,2021-08-21,68.3,1,0.1136,0.0971,0.78432953,0.1238,1.2749743,1.129562,0.1096,0.1279,1.1669708,0.092,0.16697085,-0.018349206,0.077052645,-0.16325603,-0.08730159,0.14735867
2075,阿公店水庫一,阿公店水庫,高雄市,120.344281,22.815112,182688.52,2523959.55,2021-05-12,2021-05-09,2021-05-15,67.8,1,0.0378,0.079349995,0.64564896,0.1229,1.5488536,1.3243538,0.0928,0.12905,1.3906331,0.06075,0.39063305,-0.021748412,0.16339344,-0.35998195,-0.20888038,0.33853328
2183,澄清湖水庫三,澄清湖水庫,高雄市,120.3478056,22.6618056,182975.64,2506981.64,2021-05-17,2021-05-14,2021-05-20,65.2,1,0.0447,0.06785,0.7314645,0.09275,1.367278,1.5422016,0.060149997,0.080699995,1.3418226,0.042999998,0.34182262,-0.014256191,0.14594838,-0.30495232,-0.16643721,0.36665037
2107,田浦水庫,田浦水庫,金門縣,118.454703,24.474092,194725.21,2707638.08,2021-11-25,2021-11-22,2021-11-28,65.1,1,0.0207,0.0316,0.3670151,0.0861,2.7246835,1.8476394,0.0466,0.1124,2.4120173,0.0434,1.4120172,0.001651113,0.4138365,-0.44287547,-0.035555538,0.3297297
2185,鳳山水庫一,鳳山水庫,高雄市,120.39236,22.540565,187499.7869,2493537.054,2021-03-03,2021-02-28,2021-03-06,64.6,1,0.0177,0.0598,0.9737705,0.061,1.026936,1.3392462,0.0462,0.0513,1.1103896,0.0378,0.11038963,-0.003030477,0.0523077,-0.14878896,-0.10000001,0.23481783
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2022-03-07,2022-03-04,2022-03-10,64.5,1,0.0103,0.0498,0.9503817,0.0528,1.0522088,1.5216138,0.0347,0.0456,1.3141211,0.0174,0.3141211,-0.012548571,0.135741,-0.44761905,-0.32947975,0.50143266
2176,鏡面水庫一,鏡面水庫,臺南市,120.4882962,23.0583472,197566.17,2550835.83,2021-05-07,2021-05-04,2021-05-10,62.2,1,0.0347,0.0508,0.73730046,0.0668,1.3562992,1.4778761,0.0452,0.0587,1.3102679,0.043,0.3102679,5.79E-04,0.13429953,-0.15437558,-0.020501103,0.22009131
2108,擎天水庫,擎天水庫,金門縣,118.397673,24.462844,188938.72,2706416.26,2024-01-18,2024-01-15,2024-01-21,61.4,1,0.0151,0.0116,0.86567163,0.0134,1.1551723,1.7179487,0.0078,0.0179,2.2948718,0.0077,1.2948718,-0.001467302,0.3929961,-0.3984375,-0.006451602,0.27014217
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2021-03-03,2021-02-28,2021-03-06,61.4,1,0.016,0.0631,0.96503496,0.0646,1.0362319,1.3257262,0.0482,0.0543,1.1386554,0.0377,0.13865545,-0.004450158,0.06483301,-0.18043476,-0.12223514,0.257874
2114,金沙水庫,金沙水庫,金門縣,118.403069,24.491178,189499.3,2709552.11,2024-01-18,2024-01-15,2024-01-21,61,1,0.0116,0.0283,0.53904766,0.0525,1.8551236,1.5086206,0.0348,0.0592,1.7011493,0.0159,0.7011494,-0.014554603,0.25957447,-0.57656455,-0.37278104,0.5350877
2181,澄清湖水庫一,澄清湖水庫,高雄市,120.3545556,22.6544722,183665.82,2506166.57,2021-05-17,2021-05-14,2021-05-20,58.6,1,0.05475,0.074599996,0.77026075,0.09685,1.2982624,1.3826433,0.07005,0.0868,1.238864,0.05755,0.238864,-0.009634283,0.10655942,-0.2024554,-0.098007254,0.25458395
2106,榮湖水庫,榮湖水庫,金門縣,118.410342,24.486492,190234.25,2709029.93,2024-01-18,2024-01-15,2024-01-21,58.5,1,0.0142,0.0385,0.46497583,0.0828,2.1506493,1.7468354,0.0474,0.0818,1.7257383,0.0207,0.72573835,-0.020481588,0.26625386,-0.5960975,-0.3920705,0.6
2109,西湖水庫,西湖水庫,金門縣,118.231387,24.435038,172063.67,2703419.98,2023-10-25,2023-10-22,2023-10-28,58.4,1,0.0108,0.0286,0.6745283,0.0424,1.4825175,1.9272727,0.022,0.0404,1.8363636,0.0064,0.83636355,-0.013502223,0.29487178,-0.72649574,-0.5492958,0.73770493
2185,鳳山水庫一,鳳山水庫,高雄市,120.39236,22.540565,187499.7869,2493537.054,2024-04-03,2024-03-31,2024-04-06,56.5,1,0.0161,0.0751,0.99149704,0.076000005,1.0085847,1.3796496,0.055,0.063599996,1.1549561,0.0498,0.15495616,0.001986033,0.071902335,-0.12335977,-0.051940404,0.2111876
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2022-12-02,2022-11-29,2022-12-05,56.2,1,0.0219,0.0753,0.96786636,0.0778,1.0332005,1.4223034,0.0547,0.0691,1.2632542,0.0502,0.26325417,0.001643494,0.116316654,-0.15842414,-0.04289798,0.21562499
2110,蓮湖水庫,蓮湖水庫,金門縣,118.249983,24.450114,173958.4,2705079.46,2021-11-26,2021-11-23,2021-11-29,55.9,1,0.0678,0.0432,0.60167134,0.0718,1.662037,1.4834712,0.0484,0.0772,1.5950414,0.0538,0.5950414,0.001766351,0.22929938,-0.17862596,0.05283759,0.1433121
2208,金湖水庫,金湖水庫,金門縣,118.4583703,24.4344722,195079.78,2703248.45,2023-10-24,2023-10-21,2023-10-27,55.8,1,0.1462,0.0517,0.5915332,0.0874,1.6905222,1.1778976,0.0742,0.1269,1.7102427,0.0538,0.7102427,-0.03388571,0.2620587,-0.40453792,-0.15937497,0.23796031
2186,鳳山水庫二,鳳山水庫,高雄市,120.390094,22.538978,187266,2493362.29,2022-03-07,2022-03-04,2022-03-10,55.4,1,0.0096,0.0468,0.8402154,0.0554,1.190171,1.4852546,0.0373,0.0527,1.4177898,0.0184,0.41778982,-0.013711747,0.17279823,-0.48241913,-0.3393178,0.501355
2185,鳳山水庫一,鳳山水庫,高雄市,120.392218,22.54098,187485.38,2493583.09,2019-03-13,2019-03-10,2019-03-16,54.1,1,0.0221,0.0802,0.94464076,0.0849,1.0586034,1.3497615,0.0629,0.078,1.2400637,0.06,0.24006364,0.004741904,0.10716822,-0.13043481,-0.023596426,0.17184265
2192,成功水庫,成功水庫,澎湖縣,119.625964,23.577479,313893.66,2608371.04,2024-08-19,2024-08-16,2024-08-22,53.9,1,0.0057,0.0081,0.48795182,0.0166,2.0493827,1.9529411,0.0085,0.0204,2.3999999,0,1.4,-0.007975556,0.4117647,-1,-1,1
2187,鳳山水庫三,鳳山水庫,高雄市,120.388483,22.538672,187100.15,2493329.09,2022-12-02,2022-11-29,2022-12-05,53.4,1,0.02,0.0674,0.95197743,0.0708,1.0504451,1.4419552,0.0491,0.0595,1.2118126,0.0411,0.21181265,-0.002549525,0.09576428,-0.1829026,-0.08869181,0.26541555
2188,鳳山水庫四,鳳山水庫,高雄市,120.389622,22.535145,187215.71,2492938.06,2022-04-06,2022-04-03,2022-04-09,51.7,1,0.0436,0.0778,0.9725,0.08,1.0282776,1.2345679,0.0648,0.0775,1.1959876,0.0611,0.19598763,2.71E-04,0.08924806,-0.118326135,-0.029388428,0.13394755
2147,鯉魚潭水庫一,鯉魚潭水庫,苗栗縣,120.796478,24.340174,229348.12,2692712.4,2019-06-18,2019-06-15,2019-06-21,51,1,0.06185,0.09035,0.864614,0.1045,1.1565897,1.1695182,0.08935,0.0899,1.0062735,0.05975,0.006273462,-0.024449207,0.003078083,-0.20186195,-0.19884735,0.27266663
2106,榮湖水庫,榮湖水庫,金門縣,118.410342,24.486492,190234.25,2709029.93,2023-10-24,2023-10-21,2023-10-27,49.8,1,0.0101,0.0253,0.4362069,0.058,2.29249,2.164179,0.0268,0.0668,2.4925373,0.0088,1.4925374,-0.014872063,0.42735043,-0.76719576,-0.505618,0.73652697
2188,鳳山水庫四,鳳山水庫,高雄市,120.3896219,22.535145,187215.7,2492938.04,2020-01-08,2020-01-05,2020-01-11,49.1,1,0.017,0.0526,1.0057803,0.052199997,0.9942857,1.3750348,0.038149998,0.044600002,1.1745203,0.0362,0.17452022,0.001883332,0.08023916,-0.107582234,-0.027579317,0.18271405
